a,b,c,d,e,f,g,h,i,j,k
1,11,4,5,447,0.008948545861297539,0.014184397163120569,0.0,0.0073224469266220645,0.0039010990121262773,0.6308724832214765
1,12,0,3,546,0.005494505494505495,0.006666666666666667,0.0,0.0012540535346813016,0.00236077258901079,0.8241758241758241
1,12,1,5,546,0.007326007326007327,0.037037037037037035,0.0,0.008148589984447339,0.005126677289999495,0.19780219780219785
1,12,2,2,546,0.0036630036630036634,0.05555555555555555,0.0,0.008883934470323882,0.007311384688897893,0.06593406593406594
1,12,3,3,546,0.005494505494505495,0.014705882352941175,0.0,0.0073679015953585685,0.0033510092041619303,0.3736263736263737
1,12,4,4,546,0.007326007326007327,0.2,0.0,0.016845073953560556,0.01807206214728177,0.03663003663003663
1,13,0,4,507,0.007889546351084813,0.0625,0.0,0.010151041316898295,0.0076318070564686345,0.12623274161735698
1,13,1,5,507,0.007889546351084813,0.5,0.0,0.02134788788009785,0.03246728067470619,0.015779092702169626
1,13,2,4,507,0.007889546351084813,0.5,0.0,0.0184199699717994,0.032546289349452834,0.015779092702169626
1,13,3,2,507,0.003944773175542407,0.018518518518518517,0.0,0.004846274328232558,0.003489744190395704,0.21301775147929
1,13,4,4,507,0.007889546351084813,0.01694915254237288,0.0,0.00675631498385233,0.003490658477112653,0.46548323471400394
1,14,0,4,769,0.005201560468140442,0.008086253369272238,0.0,0.004177878590112995,0.003120633355383857,0.6432596445600347
1,14,1,4,769,0.005201560468140442,0.5,0.0,0.014697175804751203,0.027120083594021755,0.010403120936280884
